task_id,phase,category,scope,department,district,source,method,api_or_url,output_path,description,depends_on,priority,status
COV100-SOLO-01_Concepcion-Arroyito,1_API,SOLO,localidade,01_Concepcion,Arroyito,ISRIC SoilGrids 2.0,api_get,https://rest.isric.org/soilgrids/v2.0/properties/query?lon={LON}&lat={LAT}&property=phh2o&property=soc&property=clay&property=sand&property=bdod&depth=0-30cm&value=mean,Departamentos/01_Concepcion/Arroyito/DADOS.md,"Consultar SoilGrids 2.0 para Arroyito: pH, carbono orgânico, % argila, % areia, densidade aparente na camada 0-30cm. Derivar classificação de aptidão agrícola (alta/média/baixa/restritiva). Inserir subseção '### Solo' no DADOS.md com valores e aptidão.",COV100-GEOCOD-01_Concepcion-Arroyito,P2,todo
COV100-LUZ-01_Concepcion-Arroyito,1_API,POLUICAO_LUMINOSA,localidade,01_Concepcion,Arroyito,NASA VIIRS Black Marble / AppEEARS,api_get,https://appeears.earthdatacloud.nasa.gov/ | produto VNP46A4 (anual médio nW/cm2/sr),Departamentos/01_Concepcion/Arroyito/DADOS.md,Obter brilho artificial noturno anual médio (nW/cm²/sr) para Arroyito via NASA Black Marble VNP46A4 ou lightpollutionmap.info. Converter para escala Bortle (1=escuro a 9=poluído). Inserir campo 'poluicao_luminosa' no DADOS.md.,COV100-GEOCOD-01_Concepcion-Arroyito,P2,done
COV100-SAUDE-01_Concepcion-Arroyito,2_WEB,SAUDE,localidade,01_Concepcion,Arroyito,MSPBS + IPS,web_research,https://www.mspbs.gov.py/mapa-establecimientos.html | https://www.ips.gov.py,Departamentos/01_Concepcion/Arroyito/DADOS.md,"Levantar infraestrutura de saúde em Arroyito: número de USFs, postos de saúde, hospital regional (sim/não), presença de IPS, especialidades locais, distância ao hospital de referência (km). Fonte: mapa MSPBS + IPS. Inserir seção '### Saude' no DADOS.md.",,P1,done
COV100-CELULAR-01_Concepcion-Arroyito,2_WEB,CELULAR,localidade,01_Concepcion,Arroyito,CONATEL + OpenSignal + TIGO/Personal/Claro,web_research,https://www.conatel.gov.py/index.php/espectro/cobertura-de-red-movil | https://www.opensignal.com/paraguay | https://www.nperf.com/map/PY/,Departamentos/01_Concepcion/Arroyito/DADOS.md,"Verificar cobertura móvel em Arroyito por operadora (TIGO, Personal, Claro): tecnologia disponível (2G/3G/4G/5G), velocidade média download/upload (Mbps) via OpenSignal/nPerf, qualidade do sinal. Inserir tabela '### Celular' no DADOS.md.",,P2,done
COV100-INTERNET-01_Concepcion-Arroyito,2_WEB,INTERNET,localidade,01_Concepcion,Arroyito,CONATEL + COPACO + Speedtest + nPerf,web_research,https://www.conatel.gov.py | https://www.copaco.com.py/cobertura | https://www.speedtest.net/global-index/paraguay | https://www.nperf.com/map/PY/,Departamentos/01_Concepcion/Arroyito/DADOS.md,"Verificar disponibilidade de internet fixa em Arroyito: operadoras disponíveis, tecnologia (fibra/cabo/rádio/satélite), velocidade típica (Mbps), preço médio de plano básico (Gs./mês). Registrar disponibilidade de Starlink como opção universal. Inserir '### Internet' no DADOS.md.",,P2,done
COV100-COMBUST-01_Concepcion-Arroyito,2_WEB,COMBUSTIVEL,localidade,01_Concepcion,Arroyito,PETROPAR + OpenStreetMap Overpass API,api_get,"https://overpass-api.de/api/interpreter?data=[out:json];node[amenity=fuel](around:5000,{LAT},{LON});out; | https://www.petropar.gov.py/index.php/precios",Departamentos/01_Concepcion/Arroyito/DADOS.md,"Contar postos de combustível em raio de 5km de Arroyito via Overpass API (OSM). Verificar preço de referência PETROPAR (gasolina Común, Especial, Diésel). Inserir campo 'postos_combustivel_5km' e 'preco_gasolina_gs_litro' no DADOS.md.",COV100-GEOCOD-01_Concepcion-Arroyito,P2,done
COV100-TERRA-01_Concepcion-Arroyito,2_WEB,TERRA_RURAL,localidade,01_Concepcion,Arroyito,clasificados.com.py + OLX.com.py + InfoCasas,web_scrape,https://clasificados.com.py/inmuebles/campo | https://www.olx.com.py/campo-e-fazenda | https://www.infocasas.com.py/campo,Departamentos/01_Concepcion/Arroyito/DADOS.md,"Pesquisar anúncios de terra rural em/próximo a Arroyito nos portais imobiliários. Calcular mediana de preço por hectare (USD/ha). Registrar faixa (mín-máx), aptidão declarada e número de anúncios encontrados. Se zero anúncios, usar valor departamental como proxy. Inserir/atualizar '### Terra Rural' no DADOS.md.",,P1,done
COV100-IMOVEL-01_Concepcion-Arroyito,2_WEB,IMOVEL_URBANO,localidade,01_Concepcion,Arroyito,InfoCasas + clasificados.com.py + OLX,web_scrape,https://www.infocasas.com.py/comprar/casas | https://clasificados.com.py/inmuebles/casas | https://www.olx.com.py/casas,Departamentos/01_Concepcion/Arroyito/DADOS.md,"Pesquisar custo de imóveis residenciais em Arroyito: preço médio de compra (USD/m²), aluguel médio (USD/mês), custo de lote urbano (USD/m²). Se sem anúncios, registrar 'mercado informal; sem referência formal'. Inserir campo 'imovel_urbano' no DADOS.md.",,P2,done
COV100-CLIMA-01_Concepcion-Azotey,1_API,CLIMA,localidade,01_Concepcion,Azotey,NASA POWER Climatology API,api_get,"https://power.larc.nasa.gov/api/temporal/climatology/point?parameters=ALLSKY_SFC_SW_DWN,PRECTOTCORR&community=RE&longitude={LON}&latitude={LAT}&format=JSON",Departamentos/01_Concepcion/Azotey/DADOS.md,Obter série climática mensal (solar kWh/m²/dia + precipitação mm/dia) período 2001-2020 para Azotey. Geocodificar coordenadas via INE GeoEstatístico ou Nominatim. Inserir tabelas mensais + média anual + inclinação solar recomendada (|lat|°N ±10°) na seção '### 3. Dados Climaticos' do DADOS.md.,COV100-GEOCOD-01_Concepcion-Azotey,P1,done
COV100-SOLO-01_Concepcion-Azotey,1_API,SOLO,localidade,01_Concepcion,Azotey,ISRIC SoilGrids 2.0,api_get,https://rest.isric.org/soilgrids/v2.0/properties/query?lon={LON}&lat={LAT}&property=phh2o&property=soc&property=clay&property=sand&property=bdod&depth=0-30cm&value=mean,Departamentos/01_Concepcion/Azotey/DADOS.md,"Consultar SoilGrids 2.0 para Azotey: pH, carbono orgânico, % argila, % areia, densidade aparente na camada 0-30cm. Derivar classificação de aptidão agrícola (alta/média/baixa/restritiva). Inserir subseção '### Solo' no DADOS.md com valores e aptidão.",COV100-GEOCOD-01_Concepcion-Azotey,P2,todo
COV100-LUZ-01_Concepcion-Azotey,1_API,POLUICAO_LUMINOSA,localidade,01_Concepcion,Azotey,NASA VIIRS Black Marble / AppEEARS,api_get,https://appeears.earthdatacloud.nasa.gov/ | produto VNP46A4 (anual médio nW/cm2/sr),Departamentos/01_Concepcion/Azotey/DADOS.md,Obter brilho artificial noturno anual médio (nW/cm²/sr) para Azotey via NASA Black Marble VNP46A4 ou lightpollutionmap.info. Converter para escala Bortle (1=escuro a 9=poluído). Inserir campo 'poluicao_luminosa' no DADOS.md.,COV100-GEOCOD-01_Concepcion-Azotey,P2,done
COV100-SAUDE-01_Concepcion-Azotey,2_WEB,SAUDE,localidade,01_Concepcion,Azotey,MSPBS + IPS,web_research,https://www.mspbs.gov.py/mapa-establecimientos.html | https://www.ips.gov.py,Departamentos/01_Concepcion/Azotey/DADOS.md,"Levantar infraestrutura de saúde em Azotey: número de USFs, postos de saúde, hospital regional (sim/não), presença de IPS, especialidades locais, distância ao hospital de referência (km). Fonte: mapa MSPBS + IPS. Inserir seção '### Saude' no DADOS.md.",,P1,done
COV100-CELULAR-01_Concepcion-Azotey,2_WEB,CELULAR,localidade,01_Concepcion,Azotey,CONATEL + OpenSignal + TIGO/Personal/Claro,web_research,https://www.conatel.gov.py/index.php/espectro/cobertura-de-red-movil | https://www.opensignal.com/paraguay | https://www.nperf.com/map/PY/,Departamentos/01_Concepcion/Azotey/DADOS.md,"Verificar cobertura móvel em Azotey por operadora (TIGO, Personal, Claro): tecnologia disponível (2G/3G/4G/5G), velocidade média download/upload (Mbps) via OpenSignal/nPerf, qualidade do sinal. Inserir tabela '### Celular' no DADOS.md.",,P2,done
COV100-INTERNET-01_Concepcion-Azotey,2_WEB,INTERNET,localidade,01_Concepcion,Azotey,CONATEL + COPACO + Speedtest + nPerf,web_research,https://www.conatel.gov.py | https://www.copaco.com.py/cobertura | https://www.speedtest.net/global-index/paraguay | https://www.nperf.com/map/PY/,Departamentos/01_Concepcion/Azotey/DADOS.md,"Verificar disponibilidade de internet fixa em Azotey: operadoras disponíveis, tecnologia (fibra/cabo/rádio/satélite), velocidade típica (Mbps), preço médio de plano básico (Gs./mês). Registrar disponibilidade de Starlink como opção universal. Inserir '### Internet' no DADOS.md.",,P2,done
COV100-COMBUST-01_Concepcion-Azotey,2_WEB,COMBUSTIVEL,localidade,01_Concepcion,Azotey,PETROPAR + OpenStreetMap Overpass API,api_get,"https://overpass-api.de/api/interpreter?data=[out:json];node[amenity=fuel](around:5000,{LAT},{LON});out; | https://www.petropar.gov.py/index.php/precios",Departamentos/01_Concepcion/Azotey/DADOS.md,"Contar postos de combustível em raio de 5km de Azotey via Overpass API (OSM). Verificar preço de referência PETROPAR (gasolina Común, Especial, Diésel). Inserir campo 'postos_combustivel_5km' e 'preco_gasolina_gs_litro' no DADOS.md.",COV100-GEOCOD-01_Concepcion-Azotey,P2,done
COV100-TERRA-01_Concepcion-Azotey,2_WEB,TERRA_RURAL,localidade,01_Concepcion,Azotey,clasificados.com.py + OLX.com.py + InfoCasas,web_scrape,https://clasificados.com.py/inmuebles/campo | https://www.olx.com.py/campo-e-fazenda | https://www.infocasas.com.py/campo,Departamentos/01_Concepcion/Azotey/DADOS.md,"Pesquisar anúncios de terra rural em/próximo a Azotey nos portais imobiliários. Calcular mediana de preço por hectare (USD/ha). Registrar faixa (mín-máx), aptidão declarada e número de anúncios encontrados. Se zero anúncios, usar valor departamental como proxy. Inserir/atualizar '### Terra Rural' no DADOS.md.",,P1,done
COV100-IMOVEL-01_Concepcion-Azotey,2_WEB,IMOVEL_URBANO,localidade,01_Concepcion,Azotey,InfoCasas + clasificados.com.py + OLX,web_scrape,https://www.infocasas.com.py/comprar/casas | https://clasificados.com.py/inmuebles/casas | https://www.olx.com.py/casas,Departamentos/01_Concepcion/Azotey/DADOS.md,"Pesquisar custo de imóveis residenciais em Azotey: preço médio de compra (USD/m²), aluguel médio (USD/mês), custo de lote urbano (USD/m²). Se sem anúncios, registrar 'mercado informal; sem referência formal'. Inserir campo 'imovel_urbano' no DADOS.md.",,P2,done
COV100-CLIMA-01_Concepcion-Belen,1_API,CLIMA,localidade,01_Concepcion,Belen,NASA POWER Climatology API,api_get,"https://power.larc.nasa.gov/api/temporal/climatology/point?parameters=ALLSKY_SFC_SW_DWN,PRECTOTCORR&community=RE&longitude={LON}&latitude={LAT}&format=JSON",Departamentos/01_Concepcion/Belen/DADOS.md,Obter série climática mensal (solar kWh/m²/dia + precipitação mm/dia) período 2001-2020 para Belen. Geocodificar coordenadas via INE GeoEstatístico ou Nominatim. Inserir tabelas mensais + média anual + inclinação solar recomendada (|lat|°N ±10°) na seção '### 3. Dados Climaticos' do DADOS.md.,COV100-GEOCOD-01_Concepcion-Belen,P1,done
COV100-SOLO-01_Concepcion-Belen,1_API,SOLO,localidade,01_Concepcion,Belen,ISRIC SoilGrids 2.0,api_get,https://rest.isric.org/soilgrids/v2.0/properties/query?lon={LON}&lat={LAT}&property=phh2o&property=soc&property=clay&property=sand&property=bdod&depth=0-30cm&value=mean,Departamentos/01_Concepcion/Belen/DADOS.md,"Consultar SoilGrids 2.0 para Belen: pH, carbono orgânico, % argila, % areia, densidade aparente na camada 0-30cm. Derivar classificação de aptidão agrícola (alta/média/baixa/restritiva). Inserir subseção '### Solo' no DADOS.md com valores e aptidão.",COV100-GEOCOD-01_Concepcion-Belen,P2,todo
COV100-LUZ-01_Concepcion-Belen,1_API,POLUICAO_LUMINOSA,localidade,01_Concepcion,Belen,NASA VIIRS Black Marble / AppEEARS,api_get,https://appeears.earthdatacloud.nasa.gov/ | produto VNP46A4 (anual médio nW/cm2/sr),Departamentos/01_Concepcion/Belen/DADOS.md,Obter brilho artificial noturno anual médio (nW/cm²/sr) para Belen via NASA Black Marble VNP46A4 ou lightpollutionmap.info. Converter para escala Bortle (1=escuro a 9=poluído). Inserir campo 'poluicao_luminosa' no DADOS.md.,COV100-GEOCOD-01_Concepcion-Belen,P2,done
COV100-SAUDE-01_Concepcion-Belen,2_WEB,SAUDE,localidade,01_Concepcion,Belen,MSPBS + IPS,web_research,https://www.mspbs.gov.py/mapa-establecimientos.html | https://www.ips.gov.py,Departamentos/01_Concepcion/Belen/DADOS.md,"Levantar infraestrutura de saúde em Belen: número de USFs, postos de saúde, hospital regional (sim/não), presença de IPS, especialidades locais, distância ao hospital de referência (km). Fonte: mapa MSPBS + IPS. Inserir seção '### Saude' no DADOS.md.",,P1,done
COV100-CELULAR-01_Concepcion-Belen,2_WEB,CELULAR,localidade,01_Concepcion,Belen,CONATEL + OpenSignal + TIGO/Personal/Claro,web_research,https://www.conatel.gov.py/index.php/espectro/cobertura-de-red-movil | https://www.opensignal.com/paraguay | https://www.nperf.com/map/PY/,Departamentos/01_Concepcion/Belen/DADOS.md,"Verificar cobertura móvel em Belen por operadora (TIGO, Personal, Claro): tecnologia disponível (2G/3G/4G/5G), velocidade média download/upload (Mbps) via OpenSignal/nPerf, qualidade do sinal. Inserir tabela '### Celular' no DADOS.md.",,P2,done
COV100-INTERNET-01_Concepcion-Belen,2_WEB,INTERNET,localidade,01_Concepcion,Belen,CONATEL + COPACO + Speedtest + nPerf,web_research,https://www.conatel.gov.py | https://www.copaco.com.py/cobertura | https://www.speedtest.net/global-index/paraguay | https://www.nperf.com/map/PY/,Departamentos/01_Concepcion/Belen/DADOS.md,"Verificar disponibilidade de internet fixa em Belen: operadoras disponíveis, tecnologia (fibra/cabo/rádio/satélite), velocidade típica (Mbps), preço médio de plano básico (Gs./mês). Registrar disponibilidade de Starlink como opção universal. Inserir '### Internet' no DADOS.md.",,P2,done
COV100-COMBUST-01_Concepcion-Belen,2_WEB,COMBUSTIVEL,localidade,01_Concepcion,Belen,PETROPAR + OpenStreetMap Overpass API,api_get,"https://overpass-api.de/api/interpreter?data=[out:json];node[amenity=fuel](around:5000,{LAT},{LON});out; | https://www.petropar.gov.py/index.php/precios",Departamentos/01_Concepcion/Belen/DADOS.md,"Contar postos de combustível em raio de 5km de Belen via Overpass API (OSM). Verificar preço de referência PETROPAR (gasolina Común, Especial, Diésel). Inserir campo 'postos_combustivel_5km' e 'preco_gasolina_gs_litro' no DADOS.md.",COV100-GEOCOD-01_Concepcion-Belen,P2,done
COV100-TERRA-01_Concepcion-Belen,2_WEB,TERRA_RURAL,localidade,01_Concepcion,Belen,clasificados.com.py + OLX.com.py + InfoCasas,web_scrape,https://clasificados.com.py/inmuebles/campo | https://www.olx.com.py/campo-e-fazenda | https://www.infocasas.com.py/campo,Departamentos/01_Concepcion/Belen/DADOS.md,"Pesquisar anúncios de terra rural em/próximo a Belen nos portais imobiliários. Calcular mediana de preço por hectare (USD/ha). Registrar faixa (mín-máx), aptidão declarada e número de anúncios encontrados. Se zero anúncios, usar valor departamental como proxy. Inserir/atualizar '### Terra Rural' no DADOS.md.",,P1,done
COV100-IMOVEL-01_Concepcion-Belen,2_WEB,IMOVEL_URBANO,localidade,01_Concepcion,Belen,InfoCasas + clasificados.com.py + OLX,web_scrape,https://www.infocasas.com.py/comprar/casas | https://clasificados.com.py/inmuebles/casas | https://www.olx.com.py/casas,Departamentos/01_Concepcion/Belen/DADOS.md,"Pesquisar custo de imóveis residenciais em Belen: preço médio de compra (USD/m²), aluguel médio (USD/mês), custo de lote urbano (USD/m²). Se sem anúncios, registrar 'mercado informal; sem referência formal'. Inserir campo 'imovel_urbano' no DADOS.md.",,P2,done
COV100-CLIMA-01_Concepcion-Concepcion,1_API,CLIMA,localidade,01_Concepcion,Concepcion,NASA POWER Climatology API,api_get,"https://power.larc.nasa.gov/api/temporal/climatology/point?parameters=ALLSKY_SFC_SW_DWN,PRECTOTCORR&community=RE&longitude={LON}&latitude={LAT}&format=JSON",Departamentos/01_Concepcion/Concepcion/DADOS.md,Obter série climática mensal (solar kWh/m²/dia + precipitação mm/dia) período 2001-2020 para Concepcion. Geocodificar coordenadas via INE GeoEstatístico ou Nominatim. Inserir tabelas mensais + média anual + inclinação solar recomendada (|lat|°N ±10°) na seção '### 3. Dados Climaticos' do DADOS.md.,COV100-GEOCOD-01_Concepcion-Concepcion,P1,done
COV100-SOLO-01_Concepcion-Concepcion,1_API,SOLO,localidade,01_Concepcion,Concepcion,ISRIC SoilGrids 2.0,api_get,https://rest.isric.org/soilgrids/v2.0/properties/query?lon={LON}&lat={LAT}&property=phh2o&property=soc&property=clay&property=sand&property=bdod&depth=0-30cm&value=mean,Departamentos/01_Concepcion/Concepcion/DADOS.md,"Consultar SoilGrids 2.0 para Concepcion: pH, carbono orgânico, % argila, % areia, densidade aparente na camada 0-30cm. Derivar classificação de aptidão agrícola (alta/média/baixa/restritiva). Inserir subseção '### Solo' no DADOS.md com valores e aptidão.",COV100-GEOCOD-01_Concepcion-Concepcion,P2,todo
COV100-LUZ-01_Concepcion-Concepcion,1_API,POLUICAO_LUMINOSA,localidade,01_Concepcion,Concepcion,NASA VIIRS Black Marble / AppEEARS,api_get,https://appeears.earthdatacloud.nasa.gov/ | produto VNP46A4 (anual médio nW/cm2/sr),Departamentos/01_Concepcion/Concepcion/DADOS.md,Obter brilho artificial noturno anual médio (nW/cm²/sr) para Concepcion via NASA Black Marble VNP46A4 ou lightpollutionmap.info. Converter para escala Bortle (1=escuro a 9=poluído). Inserir campo 'poluicao_luminosa' no DADOS.md.,COV100-GEOCOD-01_Concepcion-Concepcion,P2,done
COV100-SAUDE-01_Concepcion-Concepcion,2_WEB,SAUDE,localidade,01_Concepcion,Concepcion,MSPBS + IPS,web_research,https://www.mspbs.gov.py/mapa-establecimientos.html | https://www.ips.gov.py,Departamentos/01_Concepcion/Concepcion/DADOS.md,"Levantar infraestrutura de saúde em Concepcion: número de USFs, postos de saúde, hospital regional (sim/não), presença de IPS, especialidades locais, distância ao hospital de referência (km). Fonte: mapa MSPBS + IPS. Inserir seção '### Saude' no DADOS.md.",,P1,done
COV100-CELULAR-01_Concepcion-Concepcion,2_WEB,CELULAR,localidade,01_Concepcion,Concepcion,CONATEL + OpenSignal + TIGO/Personal/Claro,web_research,https://www.conatel.gov.py/index.php/espectro/cobertura-de-red-movil | https://www.opensignal.com/paraguay | https://www.nperf.com/map/PY/,Departamentos/01_Concepcion/Concepcion/DADOS.md,"Verificar cobertura móvel em Concepcion por operadora (TIGO, Personal, Claro): tecnologia disponível (2G/3G/4G/5G), velocidade média download/upload (Mbps) via OpenSignal/nPerf, qualidade do sinal. Inserir tabela '### Celular' no DADOS.md.",,P2,done
COV100-INTERNET-01_Concepcion-Concepcion,2_WEB,INTERNET,localidade,01_Concepcion,Concepcion,CONATEL + COPACO + Speedtest + nPerf,web_research,https://www.conatel.gov.py | https://www.copaco.com.py/cobertura | https://www.speedtest.net/global-index/paraguay | https://www.nperf.com/map/PY/,Departamentos/01_Concepcion/Concepcion/DADOS.md,"Verificar disponibilidade de internet fixa em Concepcion: operadoras disponíveis, tecnologia (fibra/cabo/rádio/satélite), velocidade típica (Mbps), preço médio de plano básico (Gs./mês). Registrar disponibilidade de Starlink como opção universal. Inserir '### Internet' no DADOS.md.",,P2,done
COV100-COMBUST-01_Concepcion-Concepcion,2_WEB,COMBUSTIVEL,localidade,01_Concepcion,Concepcion,PETROPAR + OpenStreetMap Overpass API,api_get,"https://overpass-api.de/api/interpreter?data=[out:json];node[amenity=fuel](around:5000,{LAT},{LON});out; | https://www.petropar.gov.py/index.php/precios",Departamentos/01_Concepcion/Concepcion/DADOS.md,"Contar postos de combustível em raio de 5km de Concepcion via Overpass API (OSM). Verificar preço de referência PETROPAR (gasolina Común, Especial, Diésel). Inserir campo 'postos_combustivel_5km' e 'preco_gasolina_gs_litro' no DADOS.md.",COV100-GEOCOD-01_Concepcion-Concepcion,P2,done
COV100-TERRA-01_Concepcion-Concepcion,2_WEB,TERRA_RURAL,localidade,01_Concepcion,Concepcion,clasificados.com.py + OLX.com.py + InfoCasas,web_scrape,https://clasificados.com.py/inmuebles/campo | https://www.olx.com.py/campo-e-fazenda | https://www.infocasas.com.py/campo,Departamentos/01_Concepcion/Concepcion/DADOS.md,"Pesquisar anúncios de terra rural em/próximo a Concepcion nos portais imobiliários. Calcular mediana de preço por hectare (USD/ha). Registrar faixa (mín-máx), aptidão declarada e número de anúncios encontrados. Se zero anúncios, usar valor departamental como proxy. Inserir/atualizar '### Terra Rural' no DADOS.md.",,P1,done
COV100-IMOVEL-01_Concepcion-Concepcion,2_WEB,IMOVEL_URBANO,localidade,01_Concepcion,Concepcion,InfoCasas + clasificados.com.py + OLX,web_scrape,https://www.infocasas.com.py/comprar/casas | https://clasificados.com.py/inmuebles/casas | https://www.olx.com.py/casas,Departamentos/01_Concepcion/Concepcion/DADOS.md,"Pesquisar custo de imóveis residenciais em Concepcion: preço médio de compra (USD/m²), aluguel médio (USD/mês), custo de lote urbano (USD/m²). Se sem anúncios, registrar 'mercado informal; sem referência formal'. Inserir campo 'imovel_urbano' no DADOS.md.",,P2,done
