task_id,phase,department,district,path,depends_on,status,priority,definition_of_done
STR-04_Guaira-Itape,estrutura,04_Guaira,Itape,Departamentos/04_Guaira/Itape,,done,P1,Criar pasta do distrito e arquivos DADOS.md e MEDIA.md com cabecalho padrao
STR-04_Guaira-Iturbe,estrutura,04_Guaira,Iturbe,Departamentos/04_Guaira/Iturbe,,done,P1,Criar pasta do distrito e arquivos DADOS.md e MEDIA.md com cabecalho padrao
STR-04_Guaira-Jose_Fassardi,estrutura,04_Guaira,Jose_Fassardi,Departamentos/04_Guaira/Jose_Fassardi,,done,P1,Criar pasta do distrito e arquivos DADOS.md e MEDIA.md com cabecalho padrao
STR-04_Guaira-Mbocayaty_del_Guaira,estrutura,04_Guaira,Mbocayaty_del_Guaira,Departamentos/04_Guaira/Mbocayaty_del_Guaira,,done,P1,Criar pasta do distrito e arquivos DADOS.md e MEDIA.md com cabecalho padrao
STR-04_Guaira-Natalicio_Talavera,estrutura,04_Guaira,Natalicio_Talavera,Departamentos/04_Guaira/Natalicio_Talavera,,done,P1,Criar pasta do distrito e arquivos DADOS.md e MEDIA.md com cabecalho padrao
STR-04_Guaira-Numi,estrutura,04_Guaira,Numi,Departamentos/04_Guaira/Numi,,done,P1,Criar pasta do distrito e arquivos DADOS.md e MEDIA.md com cabecalho padrao
STR-04_Guaira-Paso_Yobai,estrutura,04_Guaira,Paso_Yobai,Departamentos/04_Guaira/Paso_Yobai,,done,P1,Criar pasta do distrito e arquivos DADOS.md e MEDIA.md com cabecalho padrao
STR-04_Guaira-San_Salvador,estrutura,04_Guaira,San_Salvador,Departamentos/04_Guaira/San_Salvador,,done,P1,Criar pasta do distrito e arquivos DADOS.md e MEDIA.md com cabecalho padrao
STR-04_Guaira-Tebicuary,estrutura,04_Guaira,Tebicuary,Departamentos/04_Guaira/Tebicuary,,done,P1,Criar pasta do distrito e arquivos DADOS.md e MEDIA.md com cabecalho padrao
STR-04_Guaira-Villarrica,estrutura,04_Guaira,Villarrica,Departamentos/04_Guaira/Villarrica,,done,P1,Criar pasta do distrito e arquivos DADOS.md e MEDIA.md com cabecalho padrao
STR-04_Guaira-Yataity_del_Guaira,estrutura,04_Guaira,Yataity_del_Guaira,Departamentos/04_Guaira/Yataity_del_Guaira,,done,P1,Criar pasta do distrito e arquivos DADOS.md e MEDIA.md com cabecalho padrao
STR-05_Caaguazu-Caaguazu,estrutura,05_Caaguazu,Caaguazu,Departamentos/05_Caaguazu/Caaguazu,,done,P1,Criar pasta do distrito e arquivos DADOS.md e MEDIA.md com cabecalho padrao
STR-05_Caaguazu-Carayao,estrutura,05_Caaguazu,Carayao,Departamentos/05_Caaguazu/Carayao,,done,P1,Criar pasta do distrito e arquivos DADOS.md e MEDIA.md com cabecalho padrao
STR-05_Caaguazu-Coronel_Oviedo,estrutura,05_Caaguazu,Coronel_Oviedo,Departamentos/05_Caaguazu/Coronel_Oviedo,,done,P1,Criar pasta do distrito e arquivos DADOS.md e MEDIA.md com cabecalho padrao
STR-05_Caaguazu-Doctor_Cecilio_Baez,estrutura,05_Caaguazu,Doctor_Cecilio_Baez,Departamentos/05_Caaguazu/Doctor_Cecilio_Baez,,done,P1,Criar pasta do distrito e arquivos DADOS.md e MEDIA.md com cabecalho padrao
STR-05_Caaguazu-Doctor_Eulogio_Estigarribia,estrutura,05_Caaguazu,Doctor_Eulogio_Estigarribia,Departamentos/05_Caaguazu/Doctor_Eulogio_Estigarribia,,done,P1,Criar pasta do distrito e arquivos DADOS.md e MEDIA.md com cabecalho padrao
STR-05_Caaguazu-Doctor_Juan_Manuel_Frutos,estrutura,05_Caaguazu,Doctor_Juan_Manuel_Frutos,Departamentos/05_Caaguazu/Doctor_Juan_Manuel_Frutos,,done,P1,Criar pasta do distrito e arquivos DADOS.md e MEDIA.md com cabecalho padrao
STR-05_Caaguazu-Jose_Domingo_Ocampos,estrutura,05_Caaguazu,Jose_Domingo_Ocampos,Departamentos/05_Caaguazu/Jose_Domingo_Ocampos,,done,P1,Criar pasta do distrito e arquivos DADOS.md e MEDIA.md com cabecalho padrao
STR-05_Caaguazu-La_Pastora,estrutura,05_Caaguazu,La_Pastora,Departamentos/05_Caaguazu/La_Pastora,,done,P1,Criar pasta do distrito e arquivos DADOS.md e MEDIA.md com cabecalho padrao
STR-05_Caaguazu-Mariscal_Francisco_Solano_Lopez,estrutura,05_Caaguazu,Mariscal_Francisco_Solano_Lopez,Departamentos/05_Caaguazu/Mariscal_Francisco_Solano_Lopez,,done,P1,Criar pasta do distrito e arquivos DADOS.md e MEDIA.md com cabecalho padrao
STR-05_Caaguazu-Nueva_Londres,estrutura,05_Caaguazu,Nueva_Londres,Departamentos/05_Caaguazu/Nueva_Londres,,done,P1,Criar pasta do distrito e arquivos DADOS.md e MEDIA.md com cabecalho padrao
STR-05_Caaguazu-Nueva_Toledo,estrutura,05_Caaguazu,Nueva_Toledo,Departamentos/05_Caaguazu/Nueva_Toledo,,done,P1,Criar pasta do distrito e arquivos DADOS.md e MEDIA.md com cabecalho padrao
STR-05_Caaguazu-RI_Tres_Corrales,estrutura,05_Caaguazu,RI_Tres_Corrales,Departamentos/05_Caaguazu/RI_Tres_Corrales,,done,P1,Criar pasta do distrito e arquivos DADOS.md e MEDIA.md com cabecalho padrao
STR-05_Caaguazu-Raul_Arsenio_Oviedo,estrutura,05_Caaguazu,Raul_Arsenio_Oviedo,Departamentos/05_Caaguazu/Raul_Arsenio_Oviedo,,done,P1,Criar pasta do distrito e arquivos DADOS.md e MEDIA.md com cabecalho padrao
STR-05_Caaguazu-Repatriacion,estrutura,05_Caaguazu,Repatriacion,Departamentos/05_Caaguazu/Repatriacion,,done,P1,Criar pasta do distrito e arquivos DADOS.md e MEDIA.md com cabecalho padrao
STR-05_Caaguazu-San_Joaquin,estrutura,05_Caaguazu,San_Joaquin,Departamentos/05_Caaguazu/San_Joaquin,,done,P1,Criar pasta do distrito e arquivos DADOS.md e MEDIA.md com cabecalho padrao
STR-05_Caaguazu-San_Jose_de_los_Arroyos,estrutura,05_Caaguazu,San_Jose_de_los_Arroyos,Departamentos/05_Caaguazu/San_Jose_de_los_Arroyos,,done,P1,Criar pasta do distrito e arquivos DADOS.md e MEDIA.md com cabecalho padrao
STR-05_Caaguazu-Santa_Rosa_del_Mbutuy,estrutura,05_Caaguazu,Santa_Rosa_del_Mbutuy,Departamentos/05_Caaguazu/Santa_Rosa_del_Mbutuy,,done,P1,Criar pasta do distrito e arquivos DADOS.md e MEDIA.md com cabecalho padrao
STR-05_Caaguazu-Simon_Bolivar,estrutura,05_Caaguazu,Simon_Bolivar,Departamentos/05_Caaguazu/Simon_Bolivar,,done,P1,Criar pasta do distrito e arquivos DADOS.md e MEDIA.md com cabecalho padrao
STR-05_Caaguazu-Tembiapora,estrutura,05_Caaguazu,Tembiapora,Departamentos/05_Caaguazu/Tembiapora,,done,P1,Criar pasta do distrito e arquivos DADOS.md e MEDIA.md com cabecalho padrao
STR-05_Caaguazu-Tres_de_Febrero,estrutura,05_Caaguazu,Tres_de_Febrero,Departamentos/05_Caaguazu/Tres_de_Febrero,,done,P1,Criar pasta do distrito e arquivos DADOS.md e MEDIA.md com cabecalho padrao
STR-05_Caaguazu-Vaqueria,estrutura,05_Caaguazu,Vaqueria,Departamentos/05_Caaguazu/Vaqueria,,done,P1,Criar pasta do distrito e arquivos DADOS.md e MEDIA.md com cabecalho padrao
STR-05_Caaguazu-Yhu,estrutura,05_Caaguazu,Yhu,Departamentos/05_Caaguazu/Yhu,,done,P1,Criar pasta do distrito e arquivos DADOS.md e MEDIA.md com cabecalho padrao
STR-06_Caazapa-3_de_Mayo,estrutura,06_Caazapa,3_de_Mayo,Departamentos/06_Caazapa/3_de_Mayo,,done,P1,Criar pasta do distrito e arquivos DADOS.md e MEDIA.md com cabecalho padrao
STR-06_Caazapa-Abai,estrutura,06_Caazapa,Abai,Departamentos/06_Caazapa/Abai,,done,P1,Criar pasta do distrito e arquivos DADOS.md e MEDIA.md com cabecalho padrao
STR-06_Caazapa-Buena_Vista,estrutura,06_Caazapa,Buena_Vista,Departamentos/06_Caazapa/Buena_Vista,,done,P1,Criar pasta do distrito e arquivos DADOS.md e MEDIA.md com cabecalho padrao
STR-06_Caazapa-Caazapa,estrutura,06_Caazapa,Caazapa,Departamentos/06_Caazapa/Caazapa,,done,P1,Criar pasta do distrito e arquivos DADOS.md e MEDIA.md com cabecalho padrao
STR-06_Caazapa-Doctor_Moises_Bertoni,estrutura,06_Caazapa,Doctor_Moises_Bertoni,Departamentos/06_Caazapa/Doctor_Moises_Bertoni,,done,P1,Criar pasta do distrito e arquivos DADOS.md e MEDIA.md com cabecalho padrao
STR-06_Caazapa-Fulgencio_Yegros,estrutura,06_Caazapa,Fulgencio_Yegros,Departamentos/06_Caazapa/Fulgencio_Yegros,,done,P1,Criar pasta do distrito e arquivos DADOS.md e MEDIA.md com cabecalho padrao
STR-06_Caazapa-General_Higinio_Morinigo,estrutura,06_Caazapa,General_Higinio_Morinigo,Departamentos/06_Caazapa/General_Higinio_Morinigo,,done,P1,Criar pasta do distrito e arquivos DADOS.md e MEDIA.md com cabecalho padrao
STR-06_Caazapa-Maciel,estrutura,06_Caazapa,Maciel,Departamentos/06_Caazapa/Maciel,,done,P1,Criar pasta do distrito e arquivos DADOS.md e MEDIA.md com cabecalho padrao
STR-06_Caazapa-San_Juan_Nepomuceno,estrutura,06_Caazapa,San_Juan_Nepomuceno,Departamentos/06_Caazapa/San_Juan_Nepomuceno,,done,P1,Criar pasta do distrito e arquivos DADOS.md e MEDIA.md com cabecalho padrao
STR-06_Caazapa-Tavarai,estrutura,06_Caazapa,Tavarai,Departamentos/06_Caazapa/Tavarai,,done,P1,Criar pasta do distrito e arquivos DADOS.md e MEDIA.md com cabecalho padrao
STR-06_Caazapa-Yuty,estrutura,06_Caazapa,Yuty,Departamentos/06_Caazapa/Yuty,,done,P1,Criar pasta do distrito e arquivos DADOS.md e MEDIA.md com cabecalho padrao
STR-07_Itapua-Alto_Vera,estrutura,07_Itapua,Alto_Vera,Departamentos/07_Itapua/Alto_Vera,,done,P1,Criar pasta do distrito e arquivos DADOS.md e MEDIA.md com cabecalho padrao
STR-07_Itapua-Bella_Vista,estrutura,07_Itapua,Bella_Vista,Departamentos/07_Itapua/Bella_Vista,,done,P1,Criar pasta do distrito e arquivos DADOS.md e MEDIA.md com cabecalho padrao
STR-07_Itapua-Cambreta,estrutura,07_Itapua,Cambreta,Departamentos/07_Itapua/Cambreta,,done,P1,Criar pasta do distrito e arquivos DADOS.md e MEDIA.md com cabecalho padrao
STR-07_Itapua-Capitan_Meza,estrutura,07_Itapua,Capitan_Meza,Departamentos/07_Itapua/Capitan_Meza,,done,P1,Criar pasta do distrito e arquivos DADOS.md e MEDIA.md com cabecalho padrao
STR-07_Itapua-Capitan_Miranda,estrutura,07_Itapua,Capitan_Miranda,Departamentos/07_Itapua/Capitan_Miranda,,done,P1,Criar pasta do distrito e arquivos DADOS.md e MEDIA.md com cabecalho padrao
STR-07_Itapua-Carlos_Antonio_Lopez,estrutura,07_Itapua,Carlos_Antonio_Lopez,Departamentos/07_Itapua/Carlos_Antonio_Lopez,,done,P1,Criar pasta do distrito e arquivos DADOS.md e MEDIA.md com cabecalho padrao
STR-07_Itapua-Carmen_del_Parana,estrutura,07_Itapua,Carmen_del_Parana,Departamentos/07_Itapua/Carmen_del_Parana,,done,P1,Criar pasta do distrito e arquivos DADOS.md e MEDIA.md com cabecalho padrao
STR-07_Itapua-Coronel_Bogado,estrutura,07_Itapua,Coronel_Bogado,Departamentos/07_Itapua/Coronel_Bogado,,done,P1,Criar pasta do distrito e arquivos DADOS.md e MEDIA.md com cabecalho padrao
STR-07_Itapua-Edelira,estrutura,07_Itapua,Edelira,Departamentos/07_Itapua/Edelira,,done,P1,Criar pasta do distrito e arquivos DADOS.md e MEDIA.md com cabecalho padrao
STR-07_Itapua-Encarnacion,estrutura,07_Itapua,Encarnacion,Departamentos/07_Itapua/Encarnacion,,done,P1,Criar pasta do distrito e arquivos DADOS.md e MEDIA.md com cabecalho padrao
STR-07_Itapua-Fram,estrutura,07_Itapua,Fram,Departamentos/07_Itapua/Fram,,done,P1,Criar pasta do distrito e arquivos DADOS.md e MEDIA.md com cabecalho padrao
STR-07_Itapua-General_Artigas,estrutura,07_Itapua,General_Artigas,Departamentos/07_Itapua/General_Artigas,,done,P1,Criar pasta do distrito e arquivos DADOS.md e MEDIA.md com cabecalho padrao
STR-07_Itapua-General_Delgado,estrutura,07_Itapua,General_Delgado,Departamentos/07_Itapua/General_Delgado,,done,P1,Criar pasta do distrito e arquivos DADOS.md e MEDIA.md com cabecalho padrao
STR-07_Itapua-Itapua_Poty,estrutura,07_Itapua,Itapua_Poty,Departamentos/07_Itapua/Itapua_Poty,,done,P1,Criar pasta do distrito e arquivos DADOS.md e MEDIA.md com cabecalho padrao
STR-07_Itapua-Jesus,estrutura,07_Itapua,Jesus,Departamentos/07_Itapua/Jesus,,done,P1,Criar pasta do distrito e arquivos DADOS.md e MEDIA.md com cabecalho padrao
STR-07_Itapua-Jose_Leandro_Oviedo,estrutura,07_Itapua,Jose_Leandro_Oviedo,Departamentos/07_Itapua/Jose_Leandro_Oviedo,,done,P1,Criar pasta do distrito e arquivos DADOS.md e MEDIA.md com cabecalho padrao
STR-07_Itapua-La_Paz,estrutura,07_Itapua,La_Paz,Departamentos/07_Itapua/La_Paz,,done,P1,Criar pasta do distrito e arquivos DADOS.md e MEDIA.md com cabecalho padrao
STR-07_Itapua-Mayor_Otano,estrutura,07_Itapua,Mayor_Otano,Departamentos/07_Itapua/Mayor_Otano,,done,P1,Criar pasta do distrito e arquivos DADOS.md e MEDIA.md com cabecalho padrao
STR-07_Itapua-Natalio,estrutura,07_Itapua,Natalio,Departamentos/07_Itapua/Natalio,,done,P1,Criar pasta do distrito e arquivos DADOS.md e MEDIA.md com cabecalho padrao
STR-07_Itapua-Nueva_Alborada,estrutura,07_Itapua,Nueva_Alborada,Departamentos/07_Itapua/Nueva_Alborada,,done,P1,Criar pasta do distrito e arquivos DADOS.md e MEDIA.md com cabecalho padrao
STR-07_Itapua-Obligado,estrutura,07_Itapua,Obligado,Departamentos/07_Itapua/Obligado,,done,P1,Criar pasta do distrito e arquivos DADOS.md e MEDIA.md com cabecalho padrao
STR-07_Itapua-Pirapo,estrutura,07_Itapua,Pirapo,Departamentos/07_Itapua/Pirapo,,done,P1,Criar pasta do distrito e arquivos DADOS.md e MEDIA.md com cabecalho padrao
STR-07_Itapua-San_Cosme_y_Damian,estrutura,07_Itapua,San_Cosme_y_Damian,Departamentos/07_Itapua/San_Cosme_y_Damian,,done,P1,Criar pasta do distrito e arquivos DADOS.md e MEDIA.md com cabecalho padrao
STR-07_Itapua-San_Juan_del_Parana,estrutura,07_Itapua,San_Juan_del_Parana,Departamentos/07_Itapua/San_Juan_del_Parana,,done,P1,Criar pasta do distrito e arquivos DADOS.md e MEDIA.md com cabecalho padrao
STR-07_Itapua-San_Pedro_del_Parana,estrutura,07_Itapua,San_Pedro_del_Parana,Departamentos/07_Itapua/San_Pedro_del_Parana,,done,P1,Criar pasta do distrito e arquivos DADOS.md e MEDIA.md com cabecalho padrao
STR-07_Itapua-San_Rafael_del_Parana,estrutura,07_Itapua,San_Rafael_del_Parana,Departamentos/07_Itapua/San_Rafael_del_Parana,,done,P1,Criar pasta do distrito e arquivos DADOS.md e MEDIA.md com cabecalho padrao
STR-07_Itapua-Tomas_Romero_Pereira,estrutura,07_Itapua,Tomas_Romero_Pereira,Departamentos/07_Itapua/Tomas_Romero_Pereira,,done,P1,Criar pasta do distrito e arquivos DADOS.md e MEDIA.md com cabecalho padrao
STR-07_Itapua-Trinidad,estrutura,07_Itapua,Trinidad,Departamentos/07_Itapua/Trinidad,,done,P1,Criar pasta do distrito e arquivos DADOS.md e MEDIA.md com cabecalho padrao
STR-07_Itapua-Yatytay,estrutura,07_Itapua,Yatytay,Departamentos/07_Itapua/Yatytay,,done,P1,Criar pasta do distrito e arquivos DADOS.md e MEDIA.md com cabecalho padrao
STR-08_Misiones-Ayolas,estrutura,08_Misiones,Ayolas,Departamentos/08_Misiones/Ayolas,,done,P1,Criar pasta do distrito e arquivos DADOS.md e MEDIA.md com cabecalho padrao
STR-08_Misiones-San_Ignacio,estrutura,08_Misiones,San_Ignacio,Departamentos/08_Misiones/San_Ignacio,,done,P1,Criar pasta do distrito e arquivos DADOS.md e MEDIA.md com cabecalho padrao
STR-08_Misiones-San_Juan_Bautista,estrutura,08_Misiones,San_Juan_Bautista,Departamentos/08_Misiones/San_Juan_Bautista,,done,P1,Criar pasta do distrito e arquivos DADOS.md e MEDIA.md com cabecalho padrao
STR-08_Misiones-San_Miguel,estrutura,08_Misiones,San_Miguel,Departamentos/08_Misiones/San_Miguel,,done,P1,Criar pasta do distrito e arquivos DADOS.md e MEDIA.md com cabecalho padrao
STR-08_Misiones-San_Patricio,estrutura,08_Misiones,San_Patricio,Departamentos/08_Misiones/San_Patricio,,done,P1,Criar pasta do distrito e arquivos DADOS.md e MEDIA.md com cabecalho padrao
STR-08_Misiones-Santa_Maria,estrutura,08_Misiones,Santa_Maria,Departamentos/08_Misiones/Santa_Maria,,done,P1,Criar pasta do distrito e arquivos DADOS.md e MEDIA.md com cabecalho padrao
STR-08_Misiones-Santa_Rosa,estrutura,08_Misiones,Santa_Rosa,Departamentos/08_Misiones/Santa_Rosa,,done,P1,Criar pasta do distrito e arquivos DADOS.md e MEDIA.md com cabecalho padrao
STR-08_Misiones-Santiago,estrutura,08_Misiones,Santiago,Departamentos/08_Misiones/Santiago,,done,P1,Criar pasta do distrito e arquivos DADOS.md e MEDIA.md com cabecalho padrao
STR-08_Misiones-Villa_Florida,estrutura,08_Misiones,Villa_Florida,Departamentos/08_Misiones/Villa_Florida,,done,P1,Criar pasta do distrito e arquivos DADOS.md e MEDIA.md com cabecalho padrao
STR-08_Misiones-Yabebyry,estrutura,08_Misiones,Yabebyry,Departamentos/08_Misiones/Yabebyry,,done,P1,Criar pasta do distrito e arquivos DADOS.md e MEDIA.md com cabecalho padrao
STR-09_Paraguari-Acahay,estrutura,09_Paraguari,Acahay,Departamentos/09_Paraguari/Acahay,,done,P1,Criar pasta do distrito e arquivos DADOS.md e MEDIA.md com cabecalho padrao
STR-09_Paraguari-Caapucu,estrutura,09_Paraguari,Caapucu,Departamentos/09_Paraguari/Caapucu,,done,P1,Criar pasta do distrito e arquivos DADOS.md e MEDIA.md com cabecalho padrao
STR-09_Paraguari-Caballero,estrutura,09_Paraguari,Caballero,Departamentos/09_Paraguari/Caballero,,done,P1,Criar pasta do distrito e arquivos DADOS.md e MEDIA.md com cabecalho padrao
STR-09_Paraguari-Carapegua,estrutura,09_Paraguari,Carapegua,Departamentos/09_Paraguari/Carapegua,,done,P1,Criar pasta do distrito e arquivos DADOS.md e MEDIA.md com cabecalho padrao
STR-09_Paraguari-Escobar,estrutura,09_Paraguari,Escobar,Departamentos/09_Paraguari/Escobar,,done,P1,Criar pasta do distrito e arquivos DADOS.md e MEDIA.md com cabecalho padrao
STR-09_Paraguari-General_Bernardino_Caballero,estrutura,09_Paraguari,General_Bernardino_Caballero,Departamentos/09_Paraguari/General_Bernardino_Caballero,,done,P1,Criar pasta do distrito e arquivos DADOS.md e MEDIA.md com cabecalho padrao
STR-09_Paraguari-La_Colmena,estrutura,09_Paraguari,La_Colmena,Departamentos/09_Paraguari/La_Colmena,,done,P1,Criar pasta do distrito e arquivos DADOS.md e MEDIA.md com cabecalho padrao
STR-09_Paraguari-Mbuyapey,estrutura,09_Paraguari,Mbuyapey,Departamentos/09_Paraguari/Mbuyapey,,done,P1,Criar pasta do distrito e arquivos DADOS.md e MEDIA.md com cabecalho padrao
STR-09_Paraguari-Paraguari,estrutura,09_Paraguari,Paraguari,Departamentos/09_Paraguari/Paraguari,,done,P1,Criar pasta do distrito e arquivos DADOS.md e MEDIA.md com cabecalho padrao
STR-09_Paraguari-Pirayu,estrutura,09_Paraguari,Pirayu,Departamentos/09_Paraguari/Pirayu,,done,P1,Criar pasta do distrito e arquivos DADOS.md e MEDIA.md com cabecalho padrao
STR-09_Paraguari-Quiindy,estrutura,09_Paraguari,Quiindy,Departamentos/09_Paraguari/Quiindy,,done,P1,Criar pasta do distrito e arquivos DADOS.md e MEDIA.md com cabecalho padrao
STR-09_Paraguari-Quyquyho,estrutura,09_Paraguari,Quyquyho,Departamentos/09_Paraguari/Quyquyho,,done,P1,Criar pasta do distrito e arquivos DADOS.md e MEDIA.md com cabecalho padrao
STR-09_Paraguari-San_Roque_Gonzalez,estrutura,09_Paraguari,San_Roque_Gonzalez,Departamentos/09_Paraguari/San_Roque_Gonzalez,,done,P1,Criar pasta do distrito e arquivos DADOS.md e MEDIA.md com cabecalho padrao
STR-09_Paraguari-Sapucai,estrutura,09_Paraguari,Sapucai,Departamentos/09_Paraguari/Sapucai,,done,P1,Criar pasta do distrito e arquivos DADOS.md e MEDIA.md com cabecalho padrao
STR-09_Paraguari-Tebicuary_mi,estrutura,09_Paraguari,Tebicuary_mi,Departamentos/09_Paraguari/Tebicuary_mi,,done,P1,Criar pasta do distrito e arquivos DADOS.md e MEDIA.md com cabecalho padrao
STR-09_Paraguari-Yaguarun,estrutura,09_Paraguari,Yaguarun,Departamentos/09_Paraguari/Yaguarun,,done,P1,Criar pasta do distrito e arquivos DADOS.md e MEDIA.md com cabecalho padrao
STR-09_Paraguari-Ybycui,estrutura,09_Paraguari,Ybycui,Departamentos/09_Paraguari/Ybycui,,done,P1,Criar pasta do distrito e arquivos DADOS.md e MEDIA.md com cabecalho padrao
STR-09_Paraguari-Ybytimi,estrutura,09_Paraguari,Ybytimi,Departamentos/09_Paraguari/Ybytimi,,done,P1,Criar pasta do distrito e arquivos DADOS.md e MEDIA.md com cabecalho padrao
STR-10_Alto_Parana-Ciudad_del_Este,estrutura,10_Alto_Parana,Ciudad_del_Este,Departamentos/10_Alto_Parana/Ciudad_del_Este,,done,P1,Criar pasta do distrito e arquivos DADOS.md e MEDIA.md com cabecalho padrao
STR-10_Alto_Parana-Doctor_Raul_Pena,estrutura,10_Alto_Parana,Doctor_Raul_Pena,Departamentos/10_Alto_Parana/Doctor_Raul_Pena,,done,P1,Criar pasta do distrito e arquivos DADOS.md e MEDIA.md com cabecalho padrao
STR-10_Alto_Parana-Domingo_Martinez_de_Irala,estrutura,10_Alto_Parana,Domingo_Martinez_de_Irala,Departamentos/10_Alto_Parana/Domingo_Martinez_de_Irala,,done,P1,Criar pasta do distrito e arquivos DADOS.md e MEDIA.md com cabecalho padrao
